Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
555,Ankit Ispat Pvt. Ltd.,201403,Indian Private Sector,2003,53.14,40.77,9.86,2.51,50.63,12.37,5%,,0%
556,Ankit Metal & Power Ltd.,201403,Indian Private Sector,2002,1475.69,1313.91,156.07,5.71,1469.98,161.78,0%,0.99%,1%
557,Ankshree Investments & Trdg. Co. Ltd.,201403,Indian Private Sector,1988,,,0.15,-0.15,0.15,,,,0%
558,Ankur Buildcon Pvt. Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
559,Ankur International Ltd.,201403,Indian Private Sector,1989,1.71,1.70,0.10,-0.09,1.80,0.01,-5%,0.00%,0%
560,Ankur Marketing Ltd.,201403,Indian Private Sector,1985,0.26,1.29,0.20,-1.23,1.49,-1.03,-473%,0.00%,0%
561,Ankush Finstock Ltd.,201403,Indian Private Sector,1993,,,0.36,-0.36,0.36,,,,0%
562,Anmol Drugs & Pharmaceuticals Ltd.,201403,Indian Private Sector,1986,,,,,,,,,0%
563,Anna Infrastructures Ltd.,201403,Indian Private Sector,1993,1.19,0.43,0.91,-0.15,1.34,0.76,-13%,100.00%,3%
564,Annapurna Projects Ltd.,201403,Indian Private Sector,1981,0.02,,0.06,-0.04,0.06,0.02,-200%,0.00%,0%
565,Annupampattu Developers Pvt. Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
566,Ansal A P I Infrastructure Ltd.,201403,Indian Private Sector,2008,48.46,30.76,14.64,3.06,45.40,17.70,6%,100.00%,0%
567,Ansal A P I Power Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
568,Ansal Buildwell Ltd.,201403,Indian Private Sector,1983,89.47,-8.80,73.40,24.87,64.60,98.27,28%,100.00%,9%
569,Ansal Condominium Ltd.,201403,Indian Private Sector,2006,,,,,,,,,0%
570,Ansal Housing & Construction Ltd.,201403,Indian Private Sector,1983,591.12,144.27,319.99,126.86,464.26,446.85,21%,100.00%,12%
571,Ansal Properties & Infrastructure Ltd.,201403,Indian Private Sector,1967,860.67,-37.52,789.43,108.76,751.91,898.19,13%,98.50%,21%
572,Ansal Real Estate Developers Pvt. Ltd.,201403,Indian Private Sector,1998,,0.00,,0.00,0.00,0.00,,,0%
573,Ansaldo Caldaie Boilers India Pvt. Ltd.,201312,Indian Private Sector,2005,14.80,21.41,20.36,-26.97,41.77,-6.61,-182%,0.00%,11%
574,Ansh Builders Pvt. Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
575,Anshul Specialty Molecules Ltd.,201403,Indian Private Sector,1971,56.08,21.25,21.53,13.30,42.78,34.83,24%,0.00%,17%
576,Anshuni Commercials Ltd.,201403,Indian Private Sector,1984,0.24,0.22,0.08,-0.06,0.30,0.02,-25%,0.00%,13%
577,Anshu'S Clothing Ltd.,201403,Indian Private Sector,1995,21.74,17.83,2.77,1.14,20.60,3.91,5%,0.00%,23%
578,Antara Purukul Senior Living Ltd.,201403,Indian Private Sector,1995,,0.06,-4.81,4.75,-4.75,-0.06,,,0%
579,Antara Senior Living Ltd.,201403,Indian Private Sector,2011,0.32,0.21,8.62,-8.51,8.83,0.11,-2659%,100.00%,16%
580,Antarctica Ltd.,201403,Indian Private Sector,1991,3.23,1.28,1.79,0.16,3.07,1.95,5%,,11%
581,Antelec Ltd.,201403,Indian Private Sector,1981,101.97,72.28,22.77,6.92,95.05,29.69,7%,92.68%,1%
582,Anthurium Developers Ltd.,201403,Indian Private Sector,2010,0.00,,0.01,-0.01,0.01,0.00,,,0%
583,Antique Stock Broking Ltd.,201403,Indian Private Sector,1994,42.82,5.27,28.66,8.89,33.93,37.55,21%,0.00%,4%
584,Antrix Corporation Ltd.,201403,Central Government,1992,1481.95,,1315.39,166.56,1315.39,1481.95,11%,86.06%,0%
585,Antwerp Diamond Bank N V,201403,Foreign Private Sector,2002,10.08,,19.26,-9.18,19.26,10.08,-91%,,3%
586,Anubhav Infrastructure Ltd.,201403,Indian Private Sector,2006,141.63,,140.72,0.91,140.72,141.63,1%,100.00%,0%
587,Anuh Pharma Ltd.,201403,Indian Private Sector,1960,266.30,214.28,29.30,22.72,243.58,52.02,9%,0.03%,6%
588,Anukaran Commercial Enterprises Ltd.,201403,Indian Private Sector,1985,24.65,24.90,0.67,-0.92,25.57,-0.25,-4%,0.00%,0%
589,Anunta Tech Infrastructure Services Ltd.,201403,Indian Private Sector,2010,0.73,,0.86,-0.13,0.86,0.73,-18%,34.25%,0%
590,Anup Engineering Ltd.,201403,Indian Private Sector,1962,104.73,61.74,24.67,18.32,86.41,42.99,17%,0.92%,4%
591,Anup Malleables Ltd.,201403,Indian Private Sector,1981,15.23,9.75,4.03,1.45,13.78,5.48,10%,12.67%,1%
592,Anupam Industries Ltd.,201403,Indian Private Sector,1998,268.06,164.01,75.03,29.02,239.04,104.05,11%,5.83%,16%
593,Anushakti Chemicals & Drugs Ltd. [Merged],201403,Indian Private Sector,1992,,,0.01,-0.01,0.01,,,,0%
594,Apaksh Broadband Ltd.,201403,Indian Private Sector,2005,,,,,,,,,0%
595,Apar Industries Ltd.,201403,Indian Private Sector,1989,4479.80,3739.14,636.70,103.96,4375.84,740.66,2%,0.06%,10%
596,Apar Lubricants Ltd.,201403,Indian Private Sector,2006,16.61,0.00,10.69,5.92,10.69,16.61,36%,100.00%,0%
597,Aparna Infraenergy India Pvt. Ltd.,201312,Indian Private Sector,2011,,,0.01,-0.01,0.01,,,,0%
598,Apcotex Industries Ltd.,201403,Indian Private Sector,1986,298.67,228.76,50.28,19.63,279.04,69.91,7%,0.00%,12%
599,Apeejay Shipping Ltd.,201403,Indian Private Sector,1948,128.55,12.88,95.94,19.73,108.82,115.67,15%,79.73%,6%
600,Apex Auto Ltd.,201403,Indian Private Sector,1994,111.98,70.83,44.06,-2.91,114.89,41.15,-3%,0.94%,19%
601,Apex Buildsys Ltd.,201403,Indian Private Sector,1993,308.23,155.61,112.16,40.46,267.77,152.62,13%,51.41%,0%
602,Apian Finance & Invst. Ltd.,201403,Indian Private Sector,1993,,,0.04,-0.04,0.04,,,,0%
603,Apis India Ltd.,201403,Indian Private Sector,1983,102.14,74.72,13.58,13.84,88.30,27.42,14%,0.10%,12%
604,Apitco Ltd.,201403,State Government,1976,12.65,0.06,11.56,1.03,11.62,12.59,8%,100.00%,0%
605,Aplab Ltd.,201403,Indian Private Sector,1964,96.03,47.22,37.84,10.97,85.06,48.81,11%,13.61%,6%
606,Aplaya Creations Ltd.,201403,Indian Private Sector,1983,0.00,0.00,0.14,-0.14,0.14,0.00,,,0%
607,A-Plus Estates Pvt. Ltd.,201403,Indian Private Sector,2006,,,,,,,,,0%
608,Apna Incable Broadband Services Pvt. Ltd.,201403,Foreign Private Sector,2008,0.00,0.00,0.32,-0.32,0.32,0.00,,,0%
609,Apna Sahakari Bank Ltd.,201403,Co-operative Sector,1968,3.17,,86.60,-83.43,86.60,3.17,-2632%,0.00%,16%
610,Apnapan Viniyog Pvt. Ltd.,201403,Indian Private Sector,2006,,,0.01,-0.01,0.01,,,,0%
611,Apollo Agro Inds. Ltd.,201403,Indian Private Sector,1982,14.91,12.81,1.29,0.81,14.10,2.10,5%,,0%
612,Apollo Buildwell Pvt. Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
613,Apollo Design Apparel Parks Ltd.,201403,Central Government,2007,168.64,155.17,7.50,5.97,162.67,13.47,4%,0.00%,1%
614,Apollo Earthmovers Ltd.,201403,Indian Private Sector,1981,10.68,10.90,2.96,-3.18,13.86,-0.22,-30%,0.00%,2%
615,Apollo Finvest (India) Ltd.,201403,Indian Private Sector,1985,0.00,,0.76,-0.76,0.76,0.00,,,0%
616,Apollo Gleneagles Hospitals Ltd.,201403,Indian Private Sector,1988,379.60,,334.23,45.37,334.23,379.60,12%,99.90%,5%
617,Apollo Health & Lifestyle Ltd.,201403,Indian Private Sector,2001,97.34,8.15,110.69,-21.50,118.84,89.19,-22%,91.52%,11%
618,Apollo Home Healthcare (India) Ltd.,201403,Indian Private Sector,1995,2.44,,2.27,0.17,2.27,2.44,7%,100.00%,0%
619,Apollo Hospitals Enterprise Ltd.,201403,Indian Private Sector,1979,3862.32,1058.12,2314.23,489.97,3372.35,2804.20,13%,99.98%,8%
620,Apollo Hospitals Intl. Ltd.,201403,Indian Private Sector,1997,137.35,0.50,123.46,13.39,123.96,136.85,10%,98.65%,8%
621,Apollo Investments Ltd.,201403,Indian Private Sector,1983,0.05,,0.06,-0.01,0.06,0.05,-20%,100.00%,0%
622,Apollo Lavasa Health Corpn. Ltd.,201403,Indian Private Sector,2007,0.80,,4.09,-3.29,4.09,0.80,-411%,73.75%,0%
623,Apollo Metalex Pvt. Ltd.,201403,Indian Private Sector,2006,284.85,242.69,27.52,14.64,270.21,42.16,5%,0.88%,12%
624,Apollo Nellore Hospital Ltd.,201403,Indian Private Sector,1986,-0.09,0.00,0.09,-0.18,0.09,-0.09,200%,0.00%,0%
625,Apollo Rajshree Hospitals Pvt. Ltd.,201403,Indian Private Sector,2008,20.66,0.15,24.96,-4.45,25.11,20.51,-22%,100.00%,1%
626,Apollo Sindoori Hotels Ltd.,201403,Indian Private Sector,2000,68.29,0.34,65.01,2.94,65.35,67.95,4%,99.75%,1%
627,Apollo Tyres Ltd.,201403,Indian Private Sector,1972,8739.57,5941.60,1919.35,878.62,7860.95,2797.97,10%,0.11%,10%
628,Apollo Zipper India Ltd.,201403,Indian Private Sector,2004,1.79,0.08,5.15,-3.44,5.23,1.71,-192%,98.88%,74%
629,Aponline Ltd.,201403,Indian Private Sector,2002,88.47,7.06,64.76,16.65,71.82,81.41,19%,90.63%,0%
630,Apple Asset Mgmt. Ltd.,201403,Indian Private Sector,1993,,,,,,,,,0%
631,Apple Credit Corpn. Ltd.,201403,Indian Private Sector,1988,,,0.45,-0.45,0.45,,,,0%
632,Apple Finance Ltd.,201403,Indian Private Sector,1985,0.00,0.10,1.40,-1.50,1.50,-0.10,,,0%
633,Applect Learning Systems Pvt. Ltd.,201403,Indian Private Sector,2001,20.28,,49.65,-29.37,49.65,20.28,-145%,100.00%,16%
634,Applicomp (India) Ltd.,201307,Indian Private Sector,1996,921.00,787.49,122.53,10.98,910.02,133.51,1%,0.00%,5%
635,Appollo Wind Energy Pvt. Ltd.,201403,Indian Private Sector,2004,,,,,,,,,0%
636,Appu Marketing & Manufacturing Ltd.,201403,Indian Private Sector,1987,0.22,0.05,0.03,0.14,0.08,0.17,64%,100.00%,0%
637,Appu Nutritions Pvt. Ltd.,201403,Indian Private Sector,1985,14.36,8.70,5.65,0.01,14.35,5.66,0%,,19%
638,Aptech Ltd.,201403,Indian Private Sector,2000,108.09,0.26,86.33,21.50,86.59,107.83,20%,96.71%,21%
639,Aptech Venture Ltd.,201403,Indian Private Sector,2017,,,0.03,-0.03,0.03,,,,0%
640,Aqua Pumps Infra Ventures Ltd.,201403,Indian Private Sector,1992,43.42,0.02,42.30,1.10,42.32,43.40,3%,100.00%,1%
641,Aquadiagnostics Water Research & Technology Centre Ltd.,201403,Indian Private Sector,2008,0.73,0.09,0.62,0.02,0.71,0.64,3%,98.63%,0%
642,Aquagel Chemicals Pvt. Ltd.,201403,Foreign Private Sector,1990,163.71,60.76,86.36,16.59,147.12,102.95,10%,57.75%,0%
643,Aquamall Water Solutions Ltd.,201403,Indian Private Sector,1980,523.67,421.33,52.29,50.05,473.62,102.34,10%,0.00%,4%
644,Ara Suppliers Pvt. Ltd.,201403,Indian Private Sector,2006,,,0.01,-0.01,0.01,,,,0%
645,Aradhana Investments Ltd.,201403,Indian Private Sector,1973,1.79,1.49,1.60,-1.30,3.09,0.30,-73%,20.67%,0%
646,Arasmeta Captive Power Co. Ltd.,201403,Foreign Private Sector,2004,125.12,70.94,44.94,9.24,115.88,54.18,7%,,0%
647,Aravali Industries Ltd.,201403,Indian Private Sector,1984,3.19,1.28,1.40,0.51,2.68,1.91,16%,3.76%,2%
648,Aravali Properties Ltd.,201403,Indian Private Sector,2006,,,0.01,-0.01,0.01,,,,0%
649,Aravali Securities & Finance Ltd.,201403,Indian Private Sector,1980,0.00,,0.62,-0.62,0.62,0.00,,,0%
650,Arcadia Build-Tech Ltd.,201403,Indian Private Sector,2005,,,,,,,,,0%
651,Arcadia Shipping Ltd.,201403,Indian Private Sector,1981,162.88,2.76,138.70,21.42,141.46,160.12,13%,99.94%,2%
652,Arcee Industries Ltd.,201403,Indian Private Sector,1992,16.65,14.75,2.21,-0.31,16.96,1.90,-2%,,0%
653,Arch Pharmalabs Ltd.,201403,Indian Private Sector,1993,531.47,367.20,346.39,-182.12,713.59,164.27,-34%,,5%
654,Archana Software Ltd.,201403,Indian Private Sector,1994,5.47,5.41,0.04,0.02,5.45,0.06,0%,0.00%,0%
655,Archidply Industries Ltd.,201403,Indian Private Sector,1995,226.52,159.61,53.53,13.38,213.14,66.91,6%,0.39%,21%
656,Archies Ltd.,201403,Indian Private Sector,1990,196.84,76.09,109.05,11.70,185.14,120.75,6%,0.01%,29%
657,Archit Organosys Ltd.,201403,Indian Private Sector,1993,49.02,38.57,8.88,1.57,47.45,10.45,3%,0.00%,6%
658,Archway Investment Co. Ltd.,201403,Indian Private Sector,1976,,,0.01,-0.01,0.01,,,,0%
659,Arco Impex Ltd.,201403,Indian Private Sector,1981,0.02,,0.02,0.00,0.02,0.02,0%,100.00%,0%
660,Arco Leasing Ltd.,201403,Indian Private Sector,1984,0.01,,0.02,-0.01,0.02,0.01,-100%,100.00%,0%
661,Arcotech Ltd.,201403,Indian Private Sector,1981,625.16,497.99,39.97,87.20,537.96,127.17,14%,0.35%,2%
662,Arcus Ltd.,201403,Indian Private Sector,1999,7.51,7.80,2.15,-2.44,9.95,-0.29,-32%,2.93%,0%
663,Arcuttipore Tea Co. Ltd.,201403,Indian Private Sector,1900,3.90,-0.68,4.61,-0.03,3.93,4.58,-1%,0.00%,27%
664,Ardent Steel Ltd.,201403,Indian Private Sector,2007,369.89,147.88,147.23,74.78,295.11,222.01,20%,,23%
665,Ardi Investments & Trdg. Co. Ltd.,201403,Indian Private Sector,1981,,,0.03,-0.03,0.03,,,,0%
666,Arex Industries Ltd.,201403,Indian Private Sector,1989,31.72,12.94,14.48,4.30,27.42,18.78,14%,,8%
667,Arfin India Ltd.,201403,Indian Private Sector,1992,199.97,183.61,10.45,5.91,194.06,16.36,3%,0.00%,3%
668,Arham Sales Pvt. Ltd.,201403,Indian Private Sector,2006,,,0.01,-0.01,0.01,,,,0%
669,Aricent Technologies (Holdings) Ltd.,201403,Foreign Private Sector,2006,1771.90,5.36,1521.37,245.17,1526.73,1766.54,14%,99.24%,0%
670,Aries Agro Care Pvt. Ltd.,201403,Indian Private Sector,2007,0.02,,0.03,-0.01,0.03,0.02,-50%,,0%
671,Aries Agro Equipment Pvt. Ltd.,201403,Indian Private Sector,2007,0.00,0.00,0.10,-0.10,0.10,0.00,,,0%
672,Aries Agro Ltd.,201403,Indian Private Sector,1969,232.89,98.50,94.93,39.46,193.43,134.39,17%,0.01%,46%
673,Aries Agro Produce Pvt. Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
674,Aries Hotels Pvt. Ltd.,201403,Indian Private Sector,1996,,,0.00,0.00,0.00,,,,0%
675,Arihant Avenues & Credit Ltd.,201403,Indian Private Sector,1995,,,0.04,-0.04,0.04,,,,0%
676,Arihant Capital Markets Ltd.,201403,Indian Private Sector,1992,30.36,,14.79,15.57,14.79,30.36,51%,0.00%,0%
677,Arihant Foundations & Housing Ltd.,201309,Indian Private Sector,1992,64.42,-1.54,50.01,15.95,48.47,65.96,25%,95.09%,10%
678,Arihant Futures & Commodities Ltd.,201403,Indian Private Sector,2002,7.46,,6.62,0.84,6.62,7.46,11%,100.00%,16%
679,Arihant Griha Ltd.,201306,Indian Private Sector,2006,0.70,,0.79,-0.09,0.79,0.70,-13%,100.00%,0%
680,Arihant Industrial Corpn. Ltd.,201403,Indian Private Sector,1984,95.60,39.66,44.12,11.82,83.78,55.94,12%,12.11%,40%
681,Arihant Leasing & Holdings Ltd.,201403,Indian Private Sector,1984,0.00,0.01,0.02,-0.03,0.03,-0.01,,,0%
682,Arihant Multi Commercial Ltd.,201403,Indian Private Sector,1982,27.42,27.47,0.22,-0.27,27.69,-0.05,-1%,0.00%,0%
683,Arihant Superstructures Ltd.,201403,Indian Private Sector,1983,48.34,-19.22,63.66,3.90,44.44,67.56,8%,100.04%,17%
684,Arihant'S Securities Ltd.,201403,Indian Private Sector,1994,,,0.05,-0.05,0.05,,,,0%
685,Arintex Global Ltd.,201403,Foreign Private Sector,1996,1.57,1.41,0.66,-0.50,2.07,0.16,-32%,0.00%,6%
686,Aris International Ltd.,201403,Indian Private Sector,1995,0.02,,0.04,-0.02,0.04,0.02,-100%,100.00%,0%
687,Aristo Realty Developers Ltd.,201403,Indian Private Sector,1987,0.29,0.29,5.24,-5.24,5.53,0.00,-1807%,41.38%,52%
688,Aristro Capital Markets Ltd.,201403,Indian Private Sector,2009,0.12,,0.34,-0.22,0.34,0.12,-183%,,0%
689,Arlin Foods Ltd.,201403,Indian Private Sector,2008,1.94,1.11,0.66,0.17,1.77,0.83,9%,,3%
690,Arman Builders Pvt. Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
691,Arman Financial Services Ltd.,201403,Indian Private Sector,1992,0.23,0.01,6.61,-6.39,6.62,0.22,-2778%,,21%
692,Arman Holdings Ltd.,201403,Indian Private Sector,1982,0.44,0.38,0.07,-0.01,0.45,0.06,-2%,0.00%,0%
693,Arms Paper Ltd.,201403,Indian Private Sector,1983,60.90,60.13,0.43,0.34,60.56,0.77,1%,0.00%,1%
694,Arnav Corporation Ltd.,201403,Indian Private Sector,1987,3.26,3.18,0.05,0.03,3.23,0.08,1%,2.45%,0%
695,Arnav Gruh Ltd.,201403,Indian Private Sector,1994,0.01,0.00,0.01,0.00,0.01,0.01,0%,0.00%,0%
696,Arnold Holdings Ltd.,201403,Indian Private Sector,1981,,0.00,0.99,-0.99,0.99,0.00,,,0%
697,Aro Granite Inds. Ltd.,201403,Indian Private Sector,1988,251.34,158.65,69.43,23.26,228.08,92.69,9%,,12%
698,Aroma Enterprises (India) Ltd.,201403,Indian Private Sector,1994,0.00,,0.03,-0.03,0.03,0.00,,,0%
699,Aroni Commercials Ltd.,201403,Indian Private Sector,1985,,0.08,0.48,-0.56,0.56,-0.08,,,0%
700,Arora Fibres Ltd.,201403,Indian Private Sector,1993,42.81,36.80,8.36,-2.35,45.16,6.01,-5%,0.00%,3%
701,Arraycom (India) Ltd.,201403,Indian Private Sector,1992,55.95,37.40,14.56,3.99,51.96,18.55,7%,15.76%,1%
702,Arrow Coated Products Ltd.,201403,Indian Private Sector,1992,17.98,2.39,9.33,6.26,11.72,15.59,35%,81.42%,0%
703,Arrow Secure Technology Pvt. Ltd.,201403,Indian Private Sector,2006,0.00,,0.01,-0.01,0.01,0.00,,,0%
704,Arrow Textiles Ltd.,201403,Indian Private Sector,2008,42.63,19.00,16.84,6.79,35.84,23.63,16%,,12%
705,Arshiya Central F T W Z Ltd.,201403,Indian Private Sector,2008,,,0.01,-0.01,0.01,,,,0%
706,Arshiya Industrial & Distribution Hub Ltd.,201403,Indian Private Sector,2008,0.34,0.02,21.64,-21.32,21.66,0.32,-6271%,38.24%,0%
707,Arshiya Ltd.,201403,Indian Private Sector,1981,328.74,0.63,447.83,-119.72,448.46,328.11,-36%,91.67%,1%
708,Arshiya Northern F T W Z Ltd.,201403,Indian Private Sector,2008,8.53,0.01,18.91,-10.39,18.92,8.52,-122%,98.01%,0%
709,Arshiya Rail Infrastructure Ltd.,201403,Indian Private Sector,2008,193.33,0.04,319.06,-125.77,319.10,193.29,-65%,100.01%,0%
710,Arshiya Rail Siding & Infrastructure Ltd.,201403,Indian Private Sector,2010,,,0.03,-0.03,0.03,,,,0%
711,Arshiya Supply Chain Mgmt. Pvt. Ltd.,201403,Indian Private Sector,2006,53.88,0.01,89.34,-35.47,89.35,53.87,-66%,99.33%,0%
712,Arshiya Technologies (India) Pvt. Ltd.,201403,Indian Private Sector,2007,,0.00,,0.00,0.00,0.00,,,0%
713,Arshiya Transport & Handling Ltd.,201403,Indian Private Sector,2010,0.27,,0.14,0.13,0.14,0.27,48%,100.00%,0%
714,Artech Power & Trdg. Ltd.,201403,Indian Private Sector,1989,,0.00,0.05,-0.05,0.05,0.00,,,0%
715,Artefact Infrastructure Ltd.,201403,Indian Private Sector,1996,17.11,-4.50,20.21,1.40,15.71,21.61,8%,100.99%,0%
716,Artefact Projects Ltd.,201403,Indian Private Sector,1987,20.34,0.05,16.38,3.91,16.43,20.29,19%,109.49%,0%
717,Artemis Health Sciences Pvt. Ltd.,201403,Indian Private Sector,2005,,,0.20,-0.20,0.20,,,,0%
718,Artemis Medicare Services Ltd.,201403,Indian Private Sector,2004,262.04,2.30,240.00,19.74,242.30,259.74,8%,99.93%,2%
719,Artha Financial Services Ltd.,201403,Indian Private Sector,2008,0.04,,1.22,-1.18,1.22,0.04,-2950%,100.00%,0%
720,Artificial Limbs Mfg. Corpn. Of India,201403,Central Government,1972,165.11,82.81,58.51,23.79,141.32,82.30,14%,0.01%,11%
721,Artillegence Bio-Innovations Ltd.,201403,Indian Private Sector,1983,,0.01,0.04,-0.05,0.05,-0.01,,,0%
722,Artson Engineering Ltd.,201403,Indian Private Sector,1978,79.05,23.93,58.82,-3.70,82.75,55.12,-5%,65.39%,0%
723,Arum Investments Pvt. Ltd.,201403,Indian Private Sector,2006,3.84,0.10,16.96,-13.22,17.06,3.74,-344%,,0%
724,Arun Mantex Ltd.,201403,Indian Private Sector,1991,,,0.02,-0.02,0.02,,,,0%
725,Arun Varun Trade & Invst. Ltd.,201403,Indian Private Sector,1982,,0.01,0.14,-0.15,0.15,-0.01,,,0%
726,Arunjyoti Bio Ventures Ltd.,201403,Indian Private Sector,1986,0.08,,0.07,0.01,0.07,0.08,13%,,0%
727,Arunoday Mills Ltd.,201403,Indian Private Sector,1962,0.00,0.01,0.10,-0.11,0.11,-0.01,,,0%
728,Arvind Accel Ltd.,201403,Indian Private Sector,2008,6.84,6.44,2.09,-1.69,8.53,0.40,-25%,2.49%,0%
729,Arvind Brands & Retail Ltd.,201403,Indian Private Sector,2007,,0.01,,-0.01,0.01,-0.01,,,0%
730,Arvind Engineering Works Ltd.,201403,Indian Private Sector,1961,27.83,17.89,9.46,0.48,27.35,9.94,2%,0.00%,4%
731,Arvind Envisol Pvt. Ltd.,201403,Indian Private Sector,2011,13.89,6.20,9.73,-2.04,15.93,7.69,-15%,13.97%,15%
732,Arvind Garments Park Pvt. Ltd.,201403,Indian Private Sector,2013,,,0.00,0.00,0.00,,,,0%
733,Arvind Goodhill Suit Mfg. Pvt. Ltd.,201403,Indian Private Sector,2012,,0.11,0.02,-0.13,0.13,-0.11,,,0%
734,Arvind Infrastructure Ltd.,201403,Indian Private Sector,2008,34.90,14.28,13.48,7.14,27.76,20.62,20%,99.91%,4%
735,Arvind Internet Ltd.,201403,Indian Private Sector,2013,-0.02,0.00,1.52,-1.54,1.52,-0.02,7700%,,29%
736,Arvind Kumar Nand Kumar Ltd.,201403,Indian Private Sector,1973,17.61,14.14,2.35,1.12,16.49,3.47,6%,3.29%,2%
737,Arvind Lifestyle Brands Ltd.,201403,Indian Private Sector,1995,1832.99,1046.38,746.23,40.38,1792.61,786.61,2%,0.66%,32%
738,Arvind Ltd.,201403,Indian Private Sector,1931,4881.43,2493.26,1743.43,644.74,4236.69,2388.17,13%,0.14%,5%
739,Arvind O G Nonwovens Pvt. Ltd.,201403,Indian Private Sector,2013,0.00,0.00,0.02,-0.02,0.02,0.00,,,0%
740,Arvind P D Composites Pvt. Ltd.,201403,Indian Private Sector,2011,9.31,7.31,5.49,-3.49,12.80,2.00,-37%,0.00%,3%
741,Arvind Remedies Ltd.,201403,Indian Private Sector,1988,910.79,684.41,63.69,162.69,748.10,226.38,18%,0.00%,2%
742,Aryaman Capital Markets Ltd.,201403,Foreign Private Sector,2008,0.12,,0.10,0.02,0.10,0.12,17%,,0%
743,Aryaman Financial Services Ltd.,201403,Foreign Private Sector,1994,2.47,,1.00,1.47,1.00,2.47,60%,,10%
744,Aryan Share & Stock Brokers Ltd.,201403,Indian Private Sector,1995,1.43,0.03,2.06,-0.66,2.09,1.40,-46%,,15%
745,Asahi India Glass Ltd.,201403,Indian Private Sector,1984,2105.55,889.53,1121.31,94.71,2010.84,1216.02,4%,,13%
746,Asahi Industries Ltd.,201403,Indian Private Sector,1993,259.33,210.74,47.27,1.32,258.01,48.59,1%,,0%
747,Asahi Songwon Colors Ltd.,201403,Indian Private Sector,1990,302.09,196.04,76.50,29.55,272.54,106.05,10%,,8%
748,Asclepius Consulting & Technologies Pvt. Ltd.,201403,Indian Private Sector,2008,0.55,0.01,1.07,-0.53,1.08,0.54,-96%,100.00%,0%
749,Ascu Arch Timber Protection Ltd.,201403,Indian Private Sector,1964,3.67,2.57,1.37,-0.27,3.94,1.10,-7%,2.18%,3%
750,Aseem Global Ltd.,201403,Indian Private Sector,1983,369.54,355.22,7.22,7.10,362.44,14.32,2%,0.05%,1%
751,Ashapura Aluminium Ltd.,201403,Indian Private Sector,2007,18.50,,15.33,3.17,15.33,18.50,17%,,0%
752,Ashapura Claytech Ltd.,201403,Indian Private Sector,1995,8.03,3.89,3.83,0.31,7.72,4.14,4%,,2%
753,Ashapura Consultancy Service Pvt. Ltd.,201403,Indian Private Sector,1993,0.00,,0.15,-0.15,0.15,0.00,,,0%
754,Ashapura International Ltd.,201403,Indian Private Sector,1989,200.62,87.44,104.04,9.14,191.48,113.18,5%,0.29%,77%
755,Ashapura Intimates Fashion Ltd.,201403,Indian Private Sector,2006,165.13,134.20,14.41,16.52,148.61,30.93,10%,0.00%,10%
756,Ashapura Logistics Ltd.,201403,Indian Private Sector,2006,5.41,5.33,0.22,-0.14,5.55,0.08,-3%,0.00%,0%
757,Ashapura Minechem Ltd.,201403,Indian Private Sector,1982,663.96,127.27,456.14,80.55,583.41,536.69,12%,7.56%,73%
758,Ashiana Agro Inds. Ltd.,201403,Indian Private Sector,1990,0.00,0.00,0.19,-0.19,0.19,0.00,,,0%
759,Ashiana Housing Ltd.,201403,Indian Private Sector,1986,55.12,-91.72,155.83,-8.99,64.11,146.84,-16%,101.38%,23%
760,Ashiana Ispat Ltd.,201403,Indian Private Sector,1992,259.82,221.85,35.67,2.30,257.52,37.97,1%,0.18%,5%
761,Ashiana Maintenance Services Ltd.,201403,Indian Private Sector,1996,16.18,0.02,15.05,1.11,15.07,16.16,7%,94.81%,0%
762,Ashika Credit Capital Ltd.,201403,Indian Private Sector,1994,0.05,,2.82,-2.77,2.82,0.05,-5540%,0.00%,16%
763,Ashika Stock Broking Ltd.,201403,Indian Private Sector,1994,13.43,0.01,8.87,4.55,8.88,13.42,34%,,5%
764,Ashima Dyecot Ltd.,201403,Indian Private Sector,1995,72.33,33.30,46.21,-7.18,79.51,39.03,-10%,55.23%,6%
765,Ashima Ltd.,201403,Indian Private Sector,1982,267.93,160.32,119.48,-11.87,279.80,107.61,-4%,,6%
766,Ashirwad Capital Ltd.,201403,Indian Private Sector,1985,0.07,,0.13,-0.06,0.13,0.07,-86%,100.00%,43%
767,Ashirwad Steels & Inds. Ltd.,201403,Indian Private Sector,1986,15.21,13.45,3.82,-2.06,17.27,1.76,-14%,0.00%,0%
768,Ashish Polyplast Ltd.,201403,Indian Private Sector,1994,8.89,7.41,1.15,0.33,8.56,1.48,4%,,0%
